0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,label,year,quarter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.35714285714285715,0.17857142857142858,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,unemployed,2016,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.14285714285714285,0.08163265306122448,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.12244897959183673,0.2653061224489796,0.1836734693877551,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0,0.0,unemployed,2015,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.17647058823529413,0.08823529411764706,0.029411764705882353,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,unemployed,2017,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.16326530612244897,0.10204081632653061,0.061224489795918366,0.02040816326530612,0.0,0.08163265306122448,0.04081632653061224,0.061224489795918366,0.2653061224489796,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,unemployed,2016,1
0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.09375,0.09375,0.0625,0.03125,0.09375,0.0,0.15625,0.0625,0.0,0.0625,0.09375,0.1875,0.0,0.03125,0.0,0.0,unemployed,2017,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.0,0.34285714285714286,0.22857142857142856,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,unemployed,2014,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unemployed,2014,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,unemployed,2016,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.14545454545454545,0.12727272727272726,0.07272727272727272,0.03636363636363636,0.10909090909090909,0.09090909090909091,0.09090909090909091,0.07272727272727272,0.12727272727272726,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,unemployed,2017,1
0.0,0.0,0.0,0.0,0.0,0.0,0.16393442622950818,0.0,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,0.08196721311475409,0.01639344262295082,0.0,0.2786885245901639,0.3114754098360656,0.06557377049180328,0.03278688524590164,0.0,0.0,0.0,0.0,unemployed,2014,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,unemployed,2017,3
0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,employed,2020,3
0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.125,0.125,0.0,0.041666666666666664,0.0,employed,2018,2
0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.12,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.04,0.08,0.16,0.12,0.04,0.04,0.0,0.04,employed,2020,0
0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,employed,2020,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.06451612903225806,0.5161290322580645,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.03225806451612903,0.0,0.0,0.0,0.0,employed,2019,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,employed,2018,0
0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.03333333333333333,0.0,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,0.3,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,employed,2020,1
0.0,0.02,0.02,0.0,0.0,0.18,0.0,0.02,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.1,0.16,0.08,0.02,0.0,0.04,0.04,employed,2019,3
